,Brand,Generic,Uses
2833,oyster shell calcium w-vit d,Calcium Carbonate/Vitamin D2,"This combination medication is used to prevent or treat low blood calcium levels in people who do not get enough calcium from their diets. It may be used to treat conditions caused by low calcium levels such as bone loss (osteoporosis), weak bones (osteomalacia/rickets), decreased activity of the parathyroid gland (hypoparathyroidism), and a certain muscle disease (latent tetany). It may also be used in certain patients to make sure they are getting enough calcium (including women who are pregnant, nursing, or postmenopausal, people taking certain medications such as phenytoin, phenobarbital, or prednisone). Calcium plays a very important role in the body. It is necessary for normal functioning of nerves, cells, muscle, and bone. If there is not enough calcium in the blood, then the body will take calcium from bones, thereby weakening bones. Vitamin D helps your body absorb calcium and phosphorus. Having the right amounts of vitamin D, calcium, and phosphorus is important for building and keeping strong bones."
2834,oyster shell calcium-vit d3,Calcium Carbonate/Vitamin D3,"This combination medication is used to prevent or treat low blood calcium levels in people who do not get enough calcium from their diets. It may be used to treat conditions caused by low calcium levels such as bone loss (osteoporosis), weak bones (osteomalacia/rickets), decreased activity of the parathyroid gland (hypoparathyroidism), and a certain muscle disease (latent tetany). It may also be used in certain patients to make sure they are getting enough calcium (including women who are pregnant, nursing, or postmenopausal, people taking certain medications such as phenytoin, phenobarbital, or prednisone). Calcium plays a very important role in the body. It is necessary for normal functioning of nerves, cells, muscle, and bone. If there is not enough calcium in the blood, then the body will take calcium from bones, thereby weakening bones. Vitamin D helps your body absorb calcium and phosphorus. Having the right amounts of vitamin D, calcium, and phosphorus is important for building and keeping strong bones."
2835,oyster shell-d,Calcium Carbonate/Vitamin D3,"This combination medication is used to prevent or treat low blood calcium levels in people who do not get enough calcium from their diets. It may be used to treat conditions caused by low calcium levels such as bone loss (osteoporosis), weak bones (osteomalacia/rickets), decreased activity of the parathyroid gland (hypoparathyroidism), and a certain muscle disease (latent tetany). It may also be used in certain patients to make sure they are getting enough calcium (including women who are pregnant, nursing, or postmenopausal, people taking certain medications such as phenytoin, phenobarbital, or prednisone). Calcium plays a very important role in the body. It is necessary for normal functioning of nerves, cells, muscle, and bone. If there is not enough calcium in the blood, then the body will take calcium from bones, thereby weakening bones. Vitamin D helps your body absorb calcium and phosphorus. Having the right amounts of vitamin D, calcium, and phosphorus is important for building and keeping strong bones."
2836,ozempic,Semaglutide,"Semaglutide is used with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Semaglutide is also used in people with type 2 diabetes and heart disease to lower the risk of death from heart attack or stroke. Semaglutide is similar to a natural hormone in your body (incretin). It works by causing insulin release in response to high blood sugar (such as after a meal) and decreasing the amount of sugar your liver makes. If you use insulin, semaglutide is not a substitute for insulin treatment."
2837,ozurdex,Dexamethasone,Drug uses not available
2838,peg 3350-electrolyte,"PEG3350/Sod Sulf,Bicarb,Cl/KCl",PEG (polyethylene glycol) with electrolyte is used to clean out the intestines before certain bowel exam procedures such as colonoscopy or barium enema X-rays. It is a laxative that works by drawing large amounts of water into the colon. This effect results in watery bowel movements. Clearing stool from the intestines helps your doctor to better examine the intestines during your procedure.
2839,peg-3350 & electrolytes,"PEG3350/Sod Sulf,Bicarb,Cl/KCl",PEG (polyethylene glycol) with electrolyte is used to clean out the intestines before certain bowel exam procedures such as colonoscopy or barium enema X-rays. It is a laxative that works by drawing large amounts of water into the colon. This effect results in watery bowel movements. Clearing stool from the intestines helps your doctor to better examine the intestines during your procedure.
2840,peg3350-sod sul-nacl-kcl-asb-c,PEG3350/Sod Sul/NaCl/KCl/Asb/C,PEG (polyethylene glycol) with electrolyte is used to clean out the intestines before certain bowel exam procedures such as colonoscopy or barium enema X-rays. It is a laxative that works by drawing large amounts of water into the colon. This effect results in watery bowel movements. Clearing stool from the intestines helps your doctor to better examine the intestines during your procedure.
2841,peganone,Ethotoin,Ethotoin is used to prevent and control seizures. It is known as an anticonvulsant/antiepileptic drug. It works by reducing the abnormal electrical activity in the brain that causes seizures. It belongs to a class of drugs known as hydantoins.
2842,pegasys,PEGinterferon Alfa-2a,"Peginterferon alfa-2a is used alone or in combination with other medications to treat chronic hepatitis B and chronic hepatitis C, viral infections of the liver. It works by decreasing the amount of hepatitis virus in the body and helps your body's natural defense (immune system) fight the infection. Chronic hepatitis infection can lead to serious liver damage (cirrhosis) and liver cancer. It is not known if peginterferon can cure hepatitis B or hepatitis C infections or can prevent you from passing the virus to others. Practice ""safer sex"" (such as the use of latex condoms) to lower the risk of passing the virus to others."
